Name,Type,Start_Col,End_Col,Col_Width
C15F,Numeric,138,138,1
C15G,Numeric,139,139,1
C15H,Numeric,140,140,1
C16A,Numeric,141,141,1
C16B,Numeric,142,142,1
C16C,Numeric,143,143,1
C16D,Numeric,144,144,1
C16E,Numeric,145,145,1
C16F,Numeric,146,146,1
C17A,Numeric,147,147,1
C17B,Numeric,148,148,1
C17C,Numeric,149,149,1
C17D,Numeric,150,150,1
C17E,Numeric,151,151,1
C17F,Numeric,152,152,1
C17G,Numeric,153,153,1
C17H,Numeric,154,154,1
C17I,Numeric,155,155,1
C17J,Numeric,156,156,1
C17K,Numeric,157,157,1
C17L,Numeric,158,158,1
C18A,Numeric,159,159,1
C18B,Numeric,160,160,1
C18C,Numeric,161,161,1
C18D,Numeric,162,162,1
C18E,Numeric,163,163,1
C18F,Numeric,164,164,1
C19A,Numeric,165,165,1
C19B,Numeric,166,166,1
C19C,Numeric,167,167,1
C19D,Numeric,168,168,1
C19E,Numeric,169,169,1
C19F,Numeric,170,170,1
C19G,Numeric,171,171,1
C19H,Numeric,172,172,1
C20A,Numeric,173,173,1
C20B,Numeric,174,174,1
C20C,Numeric,175,175,1
C20D,Numeric,176,176,1
C20E,Numeric,177,177,1
C20F,Numeric,178,178,1
C20G,Numeric,179,179,1
C20H,Numeric,180,180,1
C20I,Numeric,181,181,1
C20J,Numeric,182,182,1
C20K,Numeric,183,183,1
C20L,Numeric,184,184,1
C20M,Numeric,185,185,1
C21,Numeric,186,186,1
C21_FEE,Numeric,187,191,5
C22A,Numeric,192,192,1
C22B,Numeric,193,193,1
C22C,Numeric,194,194,1
C22D,Numeric,195,195,1
C22E,Numeric,196,196,1
C22F,Numeric,197,197,1
C22G,Numeric,198,198,1
C22H,Numeric,199,199,1
C22I,Numeric,200,200,1
C22J,Numeric,201,201,1
C22K,Numeric,202,202,1
C22L,Numeric,203,203,1
C22M,Numeric,204,204,1
C22N,Numeric,205,205,1
C22O,Numeric,206,206,1
C22P,Numeric,207,207,1
C22Q,Numeric,208,208,1
C22R,Numeric,209,209,1
C22S,Numeric,210,210,1
D1A,Numeric,211,211,1
D1B,Numeric,212,212,1
D1C,Numeric,213,213,1
D1D,Numeric,214,214,1
D1E,Numeric,215,215,1
D1F,Numeric,216,216,1
D1G,Numeric,217,217,1
D1H,Numeric,218,218,1
D1I,Numeric,219,219,1
D2A,Numeric,220,221,2
D2B,Numeric,222,223,2
D3A,Numeric,224,225,2
D3B,Numeric,226,227,2
D4A,Numeric,228,228,1
D4B,Numeric,229,229,1
D5A,Numeric,230,230,1
D5B,Numeric,231,231,1
D5C,Numeric,232,232,1
D5D,Numeric,233,233,1
D5E,Numeric,234,234,1
D5F,Numeric,235,235,1
D5G,Numeric,236,236,1
D5H,Numeric,237,237,1
D6,Numeric,238,238,1
D7,Numeric,239,239,1
D8A,Numeric,240,240,1
D8B,Numeric,241,241,1
D8C,Numeric,242,242,1
D8D,Numeric,243,243,1
D8E,Numeric,244,244,1
D9A,Numeric,245,245,1
D9B,Numeric,246,246,1
E1A,Numeric,247,247,1
E1B,Numeric,248,248,1
E1C,Numeric,249,249,1
E1D,Numeric,250,250,1
E1E,Numeric,251,251,1
E1F,Numeric,252,252,1
E1G,Numeric,253,253,1
E1H,Numeric,254,254,1
E1I,Numeric,255,255,1
E1J,Numeric,256,256,1
E1K,Numeric,257,257,1
E1L,Numeric,258,258,1
E1M,Numeric,259,259,1
E1N,Numeric,260,260,1
E1O,Numeric,261,261,1
E1P,Numeric,262,262,1
E1Q,Numeric,263,263,1
E1R,Numeric,264,264,1
E1S,Numeric,265,265,1
E1T,Numeric,266,266,1
E2A,Numeric,267,267,1
E2B,Numeric,268,268,1
E2C,Numeric,269,269,1
E2D,Numeric,270,270,1
E2E,Numeric,271,271,1
E2F,Numeric,272,272,1
E2G,Numeric,273,273,1
E2H,Numeric,274,274,1
E2I,Numeric,275,275,1
E3,Numeric,276,276,1
E4,Numeric,277,277,1
E5,Numeric,278,278,1
E6,Numeric,279,279,1
E7,Numeric,280,280,1
E8,Numeric,281,281,1
E9,Numeric,282,282,1
E10,Numeric,283,283,1
E11,Numeric,284,284,1
E12,Numeric,285,285,1
E13,Numeric,286,286,1
E14,Numeric,287,287,1
E15A,Numeric,288,288,1
E15B,Numeric,289,289,1
E15C,Numeric,290,290,1
E15D,Numeric,291,291,1
E15E,Numeric,292,292,1
E15F,Numeric,293,293,1
E15G,Numeric,294,294,1
E15H,Numeric,295,295,1
E16,Numeric,296,296,1
E17,Numeric,297,297,1
E18,Numeric,298,298,1
E19,Numeric,299,299,1
E20,Numeric,300,300,1
E21,Numeric,301,301,1
E22,Numeric,302,302,1
E23,Numeric,303,303,1
E24,Numeric,304,304,1
E25,Numeric,305,305,1
E26,Numeric,306,306,1
E27A,Numeric,307,307,1
E27B,Numeric,308,308,1
E27C,Numeric,309,309,1
E27D,Numeric,310,310,1
E27E,Numeric,311,311,1
E28A,Numeric,312,312,1
E28B,Numeric,313,313,1
E28C,Numeric,314,314,1
E29,Numeric,315,315,1
E29A1,Numeric,316,316,1
E29A2,Numeric,317,317,1
E29A3,Numeric,318,318,1
E29A4,Numeric,319,319,1
E29A5,Numeric,320,320,1
E29A6,Numeric,321,321,1
E29A7,Numeric,322,322,1
E30,Numeric,323,323,1
F1,Numeric,324,324,1
F2,Numeric,325,325,1
F3,Numeric,326,326,1
F4,Numeric,327,327,1
F5,Numeric,328,329,2
F6A,Numeric,330,330,1
F6B,Numeric,331,331,1
F6C,Numeric,332,332,1
F6D,Numeric,333,333,1
F6E,Numeric,334,334,1
F6F,Numeric,335,335,1
F6G,Numeric,336,336,1
F6H,Numeric,337,337,1
F6I,Numeric,338,338,1
F7,Numeric,339,339,1
F8,Numeric,340,340,1
G1,Numeric,341,341,1
G2,Numeric,342,342,1
G3A,Numeric,343,343,1
G3B,Numeric,344,344,1
G3C,Numeric,345,345,1
G3D,Numeric,346,346,1
G3E,Numeric,347,347,1
G4,Numeric,348,348,1
G5A,Numeric,349,349,1
G5B,Numeric,350,350,1
G6,Numeric,351,351,1
G7,Numeric,352,352,1
G8,Numeric,353,353,1
G9,Numeric,354,354,1
G10,Numeric,355,355,1
G11,Numeric,356,356,1
G12A,Numeric,357,357,1
G12B,Character,358,359,2
G13,Numeric,360,360,1
G14,Numeric,361,361,1
G15,Numeric,362,362,1
G16,Numeric,363,363,1
G17,Numeric,364,364,1
G18,Numeric,365,365,1
G19A,Numeric,366,366,1
G19B,Numeric,367,367,1
G19C,Numeric,368,368,1
G19D,Numeric,369,369,1
G19E,Numeric,370,370,1
MONTH,Numeric,371,371,1
DAY,Numeric,372,373,2
YEAR,Numeric,374,374,1
COMMENTS,Numeric,375,375,1
SEX,Numeric,376,376,1
DRINKCAT,Numeric,377,377,1
OCCALC,Numeric,378,378,1
USUALBIN,Numeric,379,379,1
DRUNKN30,Numeric,380,380,1
DR2DRUNK,Numeric,381,381,1
DRPROBA,Numeric,382,382,1
DRPROBB,Numeric,383,383,1
DRPROBC,Numeric,384,384,1
DRPROBD,Numeric,385,385,1
DRPROBE,Numeric,386,386,1
DRPROBF,Numeric,387,387,1
DRPROBG,Numeric,388,388,1
DRPROBH,Numeric,389,389,1
DRPROBI,Numeric,390,390,1
DRPROBJ,Numeric,391,391,1
DRPROBK,Numeric,392,392,1
DRPROBL,Numeric,393,393,1
DRDRIVE,Numeric,394,394,1
BNGDRIVE,Numeric,395,395,1
PASSDRDV,Numeric,396,396,1
SECALC_A,Numeric,397,397,1
SECALC_B,Numeric,398,398,1
SECALC_C,Numeric,399,399,1
SECALC_D,Numeric,400,400,1
SECALC_E,Numeric,401,401,1
SECALC_F,Numeric,402,402,1
SECALC_G,Numeric,403,403,1
SECALC_H,Numeric,404,404,1
SECALC_I,Numeric,405,405,1
DAYE1A,Numeric,406,406,1
DAYE1B,Numeric,407,407,1
DAYE1C,Numeric,408,408,1
DAYE1D,Numeric,409,409,1
DAYE1E,Numeric,410,410,1
DAYE1F,Numeric,411,411,1
DAYE1G,Numeric,412,412,1
DAYE1H,Numeric,413,413,1
DAYE1I,Numeric,414,414,1
DAYE1J,Numeric,415,415,1
DAYE1K,Numeric,416,416,1
DAYE1L,Numeric,417,417,1
DAYE1M,Numeric,418,418,1
DAYE1N,Numeric,419,419,1
DAYE1O,Numeric,420,420,1
DAYE1P,Numeric,421,421,1
DAYE1Q,Numeric,422,422,1
DAYE1R,Numeric,423,423,1
DAYE1S,Numeric,424,424,1
DAYE1T,Numeric,425,425,1
YEARE1A,Numeric,426,426,1
YEARE1B,Numeric,427,427,1
YEARE1C,Numeric,428,428,1
YEARE1D,Numeric,429,429,1
YEARE1E,Numeric,430,430,1
YEARE1F,Numeric,431,431,1
YEARE1G,Numeric,432,432,1
YEARE1H,Numeric,433,433,1
YEARE1I,Numeric,434,434,1
YEARE1J,Numeric,435,435,1
YEARE1K,Numeric,436,436,1
YEARE1L,Numeric,437,437,1
YEARE1M,Numeric,438,438,1
YEARE1N,Numeric,439,439,1
YEARE1O,Numeric,440,440,1
YEARE1P,Numeric,441,441,1
YEARE1Q,Numeric,442,442,1
YEARE1R,Numeric,443,443,1
YEARE1S,Numeric,444,444,1
YEARE1T,Numeric,445,445,1
HSUBINGE,Numeric,446,446,1
BINGE,Numeric,447,447,1
DRIVE,Numeric,448,448,1
NUMPROB,Numeric,449,451,3
ANYDRUG1,Numeric,452,452,1
ANYDRUG2,Numeric,453,453,1
PERSIST,Numeric,454,454,1
PROB5,Numeric,455,455,1
GIVEUP,Numeric,456,456,1
NOBINGE,Numeric,457,457,1
UPTAKE,Numeric,458,458,1
CONTBING,Numeric,459,459,1
DD_1,Numeric,460,460,1
DD_5,Numeric,461,461,1
SMOKE30,Numeric,462,462,1
SMOKEYR,Numeric,463,463,1
SURVDATE,Numeric,464,468,5
FULLYEAR,Numeric,469,472,4
OTH,Numeric,473,473,1
NATIVAM,Numeric,474,474,1
OTHER,Numeric,475,475,1
AA,Numeric,476,476,1
ASIAN,Numeric,477,477,1
RACE,Numeric,478,478,1
CLASS,Numeric,479,479,1
HISPANIC,Numeric,480,480,1
NEVERMAR,Numeric,481,481,1
YOUNGSTU,Numeric,482,482,1
WHITE,Numeric,483,483,1
CIGUSE,Numeric,484,484,1
CIGYEAR,Numeric,485,485,1
EVERSMOK,Numeric,486,486,1
SMOKERS,Numeric,487,487,1
QUITTERS,Numeric,488,488,1
UNDERAGE,Numeric,489,489,1
FREQBING,Numeric,490,490,1
MEMGREEK,Numeric,491,491,1
FRESH,Numeric,492,492,1
SOPH,Numeric,493,493,1
JUNIOR,Numeric,494,494,1
SENIOR,Numeric,495,495,1
ATHLETE,Numeric,496,496,1
PHYSACT,Numeric,497,497,1
CHEWTOB,Numeric,498,498,1
EVERCHEW,Numeric,499,499,1
CHEWQUIT,Numeric,500,500,1
DORMS,Numeric,501,501,1
OFFCAMP,Numeric,502,502,1
FRATHOUS,Numeric,503,503,1
OTHRHOUS,Numeric,504,504,1
PARDRK,Numeric,505,505,1
PARAPRV,Numeric,506,506,1
GRADE,Numeric,507,507,1
F70FRND,Numeric,508,508,1
F30FRND,Numeric,509,509,1
AGEGROUP,Numeric,510,510,1
AGELT21,Numeric,511,511,1
AGE2123,Numeric,512,512,1
AGEGT23,Numeric,513,513,1
SELFRATE,Numeric,514,514,1
SELFEVER,Numeric,515,515,1
STWGT_01,Numeric,516,533,18
WEIGHT01,Numeric,534,551,18
VOL30,Numeric,552,556,5
